date_time,home_team,away_team,odd_home,odd_away,score_home,score_away,overtime
2015-04-02T01:30:00.000Z,Detroit Pistons,Atlanta Hawks,112,-132,105,95,false
2015-03-31T04:00:00.000Z,Portland Trail Blazers,Phoenix Suns,-417,330,109,86,false
2015-03-31T02:00:00.000Z,Memphis Grizzlies,Sacramento Kings,-625,463,97,83,false
2015-03-24T01:30:00.000Z,New York Knicks,Memphis Grizzlies,1003,-1667,82,103,false
2015-03-24T01:00:00.000Z,Indiana Pacers,Houston Rockets,100,-118,100,110,false
2015-03-23T03:30:00.000Z,Los Angeles Lakers,Philadelphia 76ers,-192,163,101,87,false
2015-03-23T03:00:00.000Z,Phoenix Suns,Dallas Mavericks,163,-192,98,92,false
2015-03-23T01:00:00.000Z,Minnesota Timberwolves,Charlotte Hornets,172,-204,98,109,false
2015-03-23T00:00:00.000Z,Boston Celtics,Detroit Pistons,-227,188,97,105,true
2015-03-19T02:00:00.000Z,Chicago Bulls,Indiana Pacers,-115,-102,103,86,false
2015-03-31T02:00:00.000Z,Minnesota Timberwolves,Utah Jazz,276,-345,84,104,false
2015-04-01T01:30:00.000Z,Atlanta Hawks,Milwaukee Bucks,-417,334,101,88,false
2015-04-01T01:30:00.000Z,Toronto Raptors,Houston Rockets,-123,104,99,96,false
2015-04-01T01:00:00.000Z,Charlotte Hornets,Boston Celtics,-154,129,104,116,false
2015-04-01T01:00:00.000Z,Philadelphia 76ers,Los Angeles Lakers,-196,166,111,113,true
2015-03-23T00:00:00.000Z,Orlando Magic,Denver Nuggets,-105,-112,100,119,false
2015-03-23T00:00:00.000Z,Sacramento Kings,Washington Wizards,142,-167,109,86,false
2015-03-22T22:00:00.000Z,Toronto Raptors,New York Knicks,-1111,730,106,89,false
2015-03-22T21:30:00.000Z,Los Angeles Clippers,New Orleans Pelicans,-500,391,107,100,false
2015-03-22T21:00:00.000Z,Atlanta Hawks,San Antonio Spurs,-125,104,95,114,false
2015-03-19T02:00:00.000Z,Dallas Mavericks,Orlando Magic,-1111,728,107,102,false
2015-03-19T02:00:00.000Z,Milwaukee Bucks,San Antonio Spurs,208,-256,103,114,false
2015-03-19T02:00:00.000Z,Oklahoma City Thunder,Boston Celtics,-286,235,122,118,false
2015-03-19T01:30:00.000Z,Miami Heat,Portland Trail Blazers,118,-139,108,104,false
2015-03-19T01:30:00.000Z,Toronto Raptors,Minnesota Timberwolves,-714,523,105,100,false
2015-03-30T03:00:00.000Z,Phoenix Suns,Oklahoma City Thunder,-130,110,97,109,false
2015-03-31T01:00:00.000Z,Indiana Pacers,Dallas Mavericks,-127,108,104,99,false
2015-03-31T01:00:00.000Z,San Antonio Spurs,Memphis Grizzlies,-370,297,103,89,false
2015-03-30T00:00:00.000Z,Boston Celtics,Los Angeles Clippers,208,-250,106,119,false
2015-03-30T00:00:00.000Z,Miami Heat,Detroit Pistons,-139,118,109,102,false
2015-03-29T22:30:00.000Z,Cleveland Cavaliers,Philadelphia 76ers,-5000,1642,87,86,false
2015-03-22T21:00:00.000Z,Milwaukee Bucks,Cleveland Cavaliers,282,-345,90,108,false
2015-03-22T21:00:00.000Z,Oklahoma City Thunder,Miami Heat,-172,147,93,75,false
2015-03-22T04:30:00.000Z,Golden State Warriors,Utah Jazz,-476,363,106,91,false
2015-03-22T02:00:00.000Z,Houston Rockets,Phoenix Suns,-345,279,102,117,false
2015-03-22T02:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,-156,133,97,86,false
2015-03-22T01:30:00.000Z,Detroit Pistons,Chicago Bulls,133,-156,107,91,false
2015-03-19T01:00:00.000Z,Cleveland Cavaliers,Brooklyn Nets,-833,596,117,92,false
2015-03-19T01:00:00.000Z,Philadelphia 76ers,Detroit Pistons,-112,-105,94,83,false
2015-03-18T04:30:00.000Z,Los Angeles Clippers,Charlotte Hornets,-588,447,99,92,false
2015-03-18T02:00:00.000Z,Houston Rockets,Orlando Magic,-667,503,107,94,false
2015-03-18T02:00:00.000Z,New Orleans Pelicans,Milwaukee Bucks,-312,254,85,84,false
2015-03-29T22:00:00.000Z,New Orleans Pelicans,Minnesota Timberwolves,-1111,711,110,88,false
2015-03-29T21:30:00.000Z,Brooklyn Nets,Los Angeles Lakers,-357,291,107,99,false
2015-03-29T18:30:00.000Z,Washington Wizards,Houston Rockets,110,-132,91,99,false
2015-03-29T04:00:00.000Z,Portland Trail Blazers,Denver Nuggets,-455,345,120,114,false
2015-03-22T01:00:00.000Z,Indiana Pacers,Brooklyn Nets,-400,313,111,123,false
2015-03-21T04:30:00.000Z,Golden State Warriors,New Orleans Pelicans,-1667,956,112,96,false
2015-03-21T04:30:00.000Z,Los Angeles Clippers,Washington Wizards,-303,244,113,99,false
2015-03-21T04:00:00.000Z,Sacramento Kings,Charlotte Hornets,171,-204,101,91,false
2015-03-21T02:30:00.000Z,Dallas Mavericks,Memphis Grizzlies,-145,123,101,112,false
2015-03-21T02:30:00.000Z,San Antonio Spurs,Boston Celtics,-455,353,101,89,false
2015-03-18T01:30:00.000Z,Detroit Pistons,Memphis Grizzlies,163,-192,105,95,false
2015-03-18T01:30:00.000Z,New York Knicks,San Antonio Spurs,1218,-2500,104,100,true
